0 2.203841
1 4.778401
2 5.604624
3 7.417555
4 9.685117
5 11.674958
6 13.745669
7 15.967454
8 17.993917
9 19.956774
10 22.625427
11 23.766323
12 25.413204
13 27.414297
14 30.379515
15 31.100126
16 33.887684
17 36.110554
18 37.419930
19 39.126286
20 39.348194

0 1.989447
1 2.091765
2 1.889185
3 2.173705
4 3.488987
5 5.340618
6 6.563365
7 6.573696
8 9.531965
9 10.618593
10 12.826393
11 15.516046
12 18.450365
13 18.648497
14 21.330730
15 23.515694
16 24.937973
17 26.827326
18 27.707161
19 28.987103
20 29.098816

0 1.975600
1 1.784848
2 1.822470
3 1.952383
4 1.762299
5 2.533968
6 2.484955
7 2.550038
8 3.620762
9 5.070018
10 7.255394
11 9.276930
12 11.758702
13 12.204279
14 15.575667
15 17.858099
16 19.973890
17 21.526728
18 22.460054
19 24.111639
20 24.234356

0 1.926079
1 2.110950
2 2.564332
3 2.082934
4 1.821868
5 2.074153
6 2.238413
7 1.858464
8 1.835265
9 2.297493
10 4.138690
11 5.090978
12 5.609227
13 5.941119
14 9.021026
15 8.827758
16 12.731338
17 13.139060
18 13.456085
19 13.767367
20 14.055167

0 2.285384
1 1.909606
2 2.473782
3 1.886244
4 1.789446
5 1.747142
6 2.122687
7 2.225845
8 2.030494
9 1.798142
10 3.237175
11 4.108393
12 3.487953
13 4.224030
14 5.363040
15 6.300573
16 8.868352
17 8.792500
18 8.480001
19 9.137018
20 9.324913

