0 5.305714
1 4.773391
2 4.661560
3 6.970509
4 4.826935
5 4.656221
6 5.756292
7 6.612641
8 8.347308
9 5.369374
10 15.487350
11 17.829077
12 10.799350
13 13.055182
14 14.412095
15 13.972404
16 16.172546
17 14.300379
18 16.225651
19 15.354682
20 16.626472

0 4.860394
1 5.007297
2 4.917701
3 11.015958
4 5.443287
5 6.597652
6 13.645142
7 15.484250
8 16.832975
9 11.932133
10 24.236280
11 26.858284
12 22.618973
13 23.279577
14 20.959116
15 26.227470
16 27.525263
17 27.247183
18 27.861528
19 24.790503
20 24.173502

